text,category
"Irish prime minister wrote heartfelt fan letter to Kylie Minogue, FOI reveals The Irish prime minister used official letterhead to write a fan letter to Kylie Minogue, freedom of information documents reveal. Taoiseach Leo Varadkar sent a handwritten message saying he was a “huge fan” of the Australian pop star, offering to meet her in person ahead of her Dublin concert in October last year. “Dear Kylie,” he wrote. “Just wanted to drop you a short note in advance of the concert in Dublin. I am really looking forward to it. Am a huge fan! “I understand you are staying in the Merrion hotel which is just across the street from my office in Government Buildings. If you like, I’d love to welcome you to Ireland personally.” The department of the Taoiseach twice blocked the freedom of information request from The Irish Mail on Sunday, before Varadkar consented to the information being made public. The department initially blocked the request because the letter was written “in a personal capacity” and did not “relate to matters arising in the course of the purpose of the Taoiseach’s functions as the head of government”. Sadly, the Australian pop star had to cancel the October concert mentioned in Varadkar’s letter, due to a throat infection. But Minogue personally called him to apologise, and finally met with the leader at a rescheduled concert in December. Varadkar then had to deny accusations he had received a free meal at the concert. Varadkar also made international headlines last month when he brought his partner to meet with US vice president Mike Pence, and spoke against homophobia and LGBT discrimination.",Music
"Naked Swedish police officer apprehends fugitive while visiting sauna An off-duty Swedish police officer successfully arrested a violent fugitive drug dealer while both men were naked in a Stockholm sauna, public broadcaster SVT has reported. The unnamed officer had just sat down when he spotted the wanted man, who had been on the run since receiving a prison sentence for assorted drugs offences and aggravated assault against a public official. “He never showed up to serve his sentence, so was naturally on a wanted list,” said Christoffer Bohman, deputy chief of police in the Stockholm suburb of Rinkeby. “This officer was off duty, and by coincidence – and somewhat comically – both men recognised each other in the sauna.” Bohman praised the officer for his calm response to what could otherwise have become a particularly heated confrontation, saying the arrest was effected in a thoroughly professional and undramatic manner. “It’s obviously much easier to act when you have colleagues with you, plus all the right tools and equipment,” he said. “This was about as stripped-back and bare-bones an arrest as it is possible to make, in several senses of the term.” Bohman also paid tribute to the officer in a Facebook post, describing him as a “top colleague who kept a cool head even when things were hotting up to a potentially dangerous situation, and despite being on your day off and in a sauna.” The arrest was carried out “with due consideration to the best interests of all concerned”, he said, adding: “We are everywhere. Even if you do not see us, we are there.” The wanted criminal will now serve his sentence, Bohman said.",World news
"Millionaires in Australia are managing a tax bill of $0 The release of the latest taxation statistics by the Australian Taxation Office shows the top 10% of taxpayers paid their lowest share of tax since 2005-06 and that the number of millionaires avoiding tax continues to rise. The statistics also highlight the ongoing gender income gap, with new breakdowns of occupations revealing that men have a higher median salary than women in 90% of all occupations. The release of the annual taxation statistics by the ATO is a true delight for stats lovers. There is an absolute trove of information that can be gleaned from the 13.87 million taxation returns we filled out in 2016-17. The big-ticket item the data shows is that in 2016-17 a growing number of millionaires were able to avoid paying tax. Sixty-nine people who earned more than $1m in 2016-17 paid $0 in tax – an increase from 62 in 2015-16, and 48 in the year before that. How did they do it? Well let’s just say it helps to have a good accountant, and it helps to pay that person a lot of money. Of the 68 millionaires, 27 claimed a deduction from the cost of managing tax affairs totalling $16.4m. They also claimed a massive $149m in gifts or donations – which was a big jump on the $57.5m donated by non-tax paying millionaires in 2015-16, with the increase likely to have come via one very large benefactor. Should the ALP win office, these millionaires will be unable to get as much benefit from using accountants. The ALP intends to limit the amount you can deduct from the cost of managing your tax affairs to $3,000. This won’t affect many of us – more than 99% of us either do our own taxes or pay less than $2,500: But for those who earn more than $180,000, it can be very expensive to reduce your taxable income. Nearly 90% of those in 2016-17 with a total income of above $180,000 remained in the top tax bracket, and they pay on average just $1,429 to manage their tax affairs. Of the 694 who were able to get their taxable income down to within the $37,000 to $87,000 tax bracket, the cost was significantly more – an average of $18,618. But the big spending was done by those who were able to get their taxable income below the tax-free threshold of $18,200; they paid an average of $133,151: Such a policy of limiting the deduction to $3,000 might ensure millionaires and the like pay their fair share of tax and help increase the amount of tax paid by the wealthiest. In 2016-17, the top 10% of taxpayers – those with a taxable income above $126,635 (alas this is taxable income so excludes the millionaires who paid no tax) paid 44.5% of all income tax. That was the lowest amount for over a decade: One area also down this year was the number of people negative gearing. Just 9.4% of individuals recorded a rental loss in 2016-17 – the lowest since 2009-10: This is not due to people getting out of the rental market – quite the opposite. In 2016-17 a record 15.5% of individuals claimed a gross rental income. But falling interest rates make it tougher to negative gear as the cost of servicing your loan actually falls. But the tax stats do once again highlight just how exaggerated the benefits of negative gearing flow to the wealthy. Just on 3.5% of all individuals earned over $180,000 in total income, but they accounted for 8% of all negative gearers and claimed 15% of the total loss of money from rent: The tax stats also highlight the massive income gap between men and women. While women make up 49% of all taxpayers, only in the bottom two tax brackets do they represent more than this amount. The account for just 26% of those earning over $180,000: The situation is even worse when broken down according to occupations. Of the 1,165 different occupations that had both men and women work, just 124 had women earning a higher median salary or wage than their male counterparts. And mostly these were lower-paying occupations. Out of the 208 occupations with a median salary above $87,000, just two had women with a higher median salary than men – state governor (not the easiest of job to get!) and neurosurgeons (and when including other income besides salary, male neurosurgeons had a much higher median income). And yet of the 50 occupations with a median salary below the tax-free threshold, 26 had women with a higher median salary than the men. It means that while just 22% of all occupations have a median salary below $37,000, they account for nearly 70% of the occupations where women have a higher median salary than men: Tuesday’s budget will produce lots of talk about average income earners, help for taxpayers and fairness. But the latest tax statistics show that women and men are at very different levels when it comes to average and median incomes. Fairness is also tough to sustain when the ability to reduce the amount of tax you pay is skewed towards those who can either afford an expensive accountant or an equally expensive rental property. Greg Jericho is an economics writer for Guardian Australia",Opinion
"Soft Brexiters blame referendum supporters for Commons deadlock MPs backing a soft Brexit turned their fury on second referendum campaigners on Monday night, blaming MPs backing a people’s vote for parliament’s failure to reach a consensus. The former chancellor Ken Clarke said second referendum campaigners had scuppered the chances of his motion on a customs union, which lost by just three votes. Clarke rejected the suggestion from the Green party’s Caroline Lucas that a compromise motion of a customs union and a referendum would win support. “If you add the people’s vote to a motion like mine, you lose votes all over the place … vote for something you have no objection to as a fallback position,” he said. Referendum supporters immediately hit back at the criticism, pointing out that the vast majority of MPs had compromised and that at least four were absent for personal reasons. “Cooperation is needed, not competition, at this stage – and all of us fighting against a no-deal Brexit made that clear before these crucial votes,” one senior Labour MP said. “Parliament has come closer to a solution in seven hours than the PM has in two years.” Key backers of a second referendum, including the Independent Group (TIG), Liberal Democrats, and Labour referendum supporters such as Jo Stevens and Owen Smith, voted against Clarke’s motion, which was also opposed by Labour leave supporters. The SNP instructed its 35 MPs to abstain. The Lib Dem Norman Lamb, who had urged his party to back a compromise, said he was furious with the result. “I am so deeply distressed. I am ashamed to be a member of this parliament,” he said. “We have failed in our responsibility today. There has been far too much posturing and intransigence, including from my own party.” Lamb said he believed the lack of compromise had pushed the UK closer to a no-deal exit. “It may now be too late,” he said. “I don’t hold out much hope now. There is a very real chance we will crash out. We have failed twice now and failed because of people who broadly support a customs union not being willing to back it.” Stephen Kinnock, one of the key campaigners with Nick Boles for the common market 2.0 plan, or Norway-style Brexit, said he had been prepared to compromise by voting for the second referendum option. “It was therefore very disappointing to see that 33 colleagues who are campaigning for a referendum chose not to reciprocate,” he said. “It appears that some of us were acting in good faith and in a spirit of compromise whilst others were not.” TIG’s Anna Soubry said backers of a referendum had also tried to forge a compromise with soft Brexiters, but any efforts to draft a composite motion had been rejected. Soubry said she still hoped that a compromise to pair a soft Brexit with a referendum could be reached. “There is a way of getting this together. If you look at the figures, there is every chance on Wednesday we can find a compromise,” she said. Days of intensive horse-trading in parliament convinced the Labour front bench and the Scottish National party to back common market 2.0. Yet the motion still failed to reach a majority by 21 votes, coming behind a second referendum and a customs union, a motion that fell by just three votes. After the result, Boles resigned on the floor of the House of Commons, blaming his failure to convince his own party to compromise. Supporters of a soft Brexit or a second referendum acknowledged during the course of the day that they had not managed to convince anything like sufficient numbers of Conservatives to back a compromise option, with insufficient support for a stable majority to pass legislation for any compromise. One significant intervention came on Monday afternoon. The Tory MP Huw Merriman, a parliamentary aide to the chancellor, Philip Hammond, wrote a letter to all MPs on Monday urging them to back the Peter Kyle motion for a referendum, saying he had got to the point where he believed it was preferable to a customs union. “If, like me, you are not a supporter of this option, then I am appealing to you to consider the confirmatory vote option,” he wrote, though he said he sympathised with a constituent who compared the choice to “asking which leg he would like amputated”. Fifteen Tory MPs backed the motion for a second referendum. However, some MPs fear that Tories sympathetic to a second referendum have been spooked by the treatment of Dominic Grieve, the former attorney general who backed a fresh public vote and lost a vote of no confidence at an angry local association meeting last week. “Tories saw the video of that meeting and are now thinking, ‘I don’t want any of that,’” one People’s Vote source said. MPs still believe Clarke’s motion for a customs union has a high chance of success should MPs bring back another round of indicative votes on Wednesday. However, the Labour MP Clive Lewis, a backer of a second referendum, said the cross-party coalition in favour of a softer Brexit would not hold for binding votes. “Although a customs union and common market 2.0 did well, they did so with the votes of MPs like me who would only support them in binding votes if they were then put to the people,” he said.",Politics
"The FCA’s supervision of LC&F is finally being investigated. About time too The London Capital &amp; Finance scandal, in which the now infamous investment firm collapsed owing £236m to 11,000 people, may be one of the worst regulatory failures on the watch of the Financial Conduct Authority, the body established in 2013 to do better than its derided predecessor. Now an independent investigation will be launched. About time too. The first half of the inquiry is the tamer element, at least from the FCA’s point of view, since it will ask whether the regulatory system itself is up to scratch. At least part of the answer must be no. LC&amp;F itself was regulated by the FCA from June 2016, but the actual “mini-bonds” marketed with enticing interest rates of up to 8% were unregulated. The scope for confusion among innocent retail investors is obvious. Better technical fixes may mean neon-lit warnings about the limitations of an FCA authorisation, or even pre-approval of marketing materials. But something clearly has to improve. Yet the core question is about the FCA itself. Even within a muddled system, should it have woken up earlier? Independent advisers have said they warned the regulator about LC&amp;F as early as November 2015. What did the FCA actually do between then and December 2018, when it finally ordered LC&amp;F to withdraw “misleading, unfair and unclear” marketing literature? Assets were frozen at that point, and the administrator has since reported on where investors’ “mini-bond” savings were going. It is an extraordinary tale of speculative property developments in the Dominican Republic, Faroe Islands oil adventures and helicopters. Then there is the separate question of how LC&amp;F’s products could ever have appeared, incorrectly, alongside the magic words “ISA eligible”. The worst part, though, is how long the LC&amp;F saga lasted. One can accept that even competent regulators will sometimes struggle to police every corner of the financial jungle. But, when outside professionals have sounded the alarm, the excuse for inaction had better be good. If the FCA has a sound explanation, it has yet to share it. The terms of reference for the inquiry have yet to be decided. Go for: as deep and wide as necessary. Big four accountancy firms face fees pressure “Audit can only be transparent and independent when it is fully priced. It will only be fully priced when it is no longer subsidised. Therefore, subsidies must end and audit must stand on its own two feet.” The business select committee’s succinct summary of the case for separating the audit and non-audit functions of the big firms is excellent. It addresses head-on the big four’s objection that audit fees would go though the roof under a ringfenced system. Yes, fees might increase, the MPs accept, but “letting prices rise if need be is a desirable development”. Quite right. A system in which non-audit fees subsidise audit work is almost bound to breed conflicts of interest. The audit partners can feel beholden to their non-audit colleagues, especially when individuals are being rewarded on a firm-wide basis. In the end, the quality of audit work deteriorates and willingness to deploy professional scepticism suffers. The MPs prefer full structural separation of big firms, as opposed to the less radical option of operational separation. There is a long way to go before that argument is won, but the report should at least encourage belief in the idea that independence is worth paying for. We’ve tried the lower-cost subsidised version of auditing, and results have been terrible for years. Thames Water changes tune after regulatory nudge It’s amazing what a firm regulatory prod can do. At the end of January, Thames Water sounded furious when told by Ofwat to “substantially rework and resubmit” its next five-year business plan. Two months later, the tune has changed. The company has re-examined its numbers and concluded it can indeed achieve more for less. It promises to reduce pollution by 30%, rather than the 18% originally proposed; flooding in homes and businesses will fall by 20%, not 15%; and so on. And it will be done on a five-year budget cut by £800m to £10.9bn. We’ll find out in July whether Ofwat is satisfied, which is not guaranteed since Thames is still only offering a £5 per customer cut in bills, versus others’ more generous pledges. But the regulator has clearly won the main argument about efficiency: Thames should have pushed itself harder in the first place. In one respect, though, the company probably has a point: most customers surely do care more about getting decent pipes and reservoirs for the 21st century than shaving a few quid off bills. Ofwat must triple-check spending assumptions, but there may be a basis for agreement this time.",Business
"Word 'empire' made accepting OBE difficult, says David Olusoga David Olusoga, the historian and broadcaster, has said he was pleased to be awarded an OBE, while also feeling troubled by the brutal history of the British empire. Olusoga, a professor of history at the University of Manchester, has a Nigerian father. He said the honour’s links to Britain’s violent imperial past made it difficult to accept, but he was able to rationalise accepting the honour while recognising the “terrible, terrible episodes” in its history. “I don’t believe we should have this ledger book, this balancing-scales view of the empire,” Olusoga told the Radio Times. “Was it good? Was it bad? Should we feel pride? Should we feel shame? “I think we should look at the empire for what it was, this complicated, more-than-400-year story with terrible, terrible episodes. Using that word ‘empire’ does make it a difficult award to accept. But if you decline, then you should shut up about it and I had to ask myself the question – would I?” The Order of the British Empire, like all other official honours of the British state, is problematic for many people of minority descent because of its links to the systematic domination, racist violence and genocide employed by the British in Africa, America, Asia and Australasia from the 17th century onwards. When the poet Benjamin Zephaniah refused the same honour in 2003 for his services to literature, he said he got angry just to hear the word “empire”. He wrote in the Guardian: “It reminds me of slavery, it reminds me of thousands of years of brutality, it reminds me of how my foremothers were raped and my forefathers brutalised.” “Benjamin Zephaniah OBE – no way Mr Blair, no way Mrs Queen. I am profoundly anti-empire,” he said. “Whoever is behind this offer can never have read any of my work.” Olusoga, a member of the board of the Scott Trust, which publishes the Guardian, has written extensively on the the development of empire and the history of black people in Britain, including their involvement in the British military. He picked up his medal from the palace in January, when the Queen handed out her new year honours. He was cited for his services to history and community integration. In a Guardian article days later, he revealed that the “exhilarating and humbling news” of his award was tempered by the soul-searching over the “extractive, exploitative, racist and violent” nature of the empire. He accepted, he said, because he felt that it would be worse if no black or Asian Britons were honoured by the awards system, because “the contributions non-white people have made have long been under-recognised”. Olusoga’s recent comments on his OBE come days after Mohammed Mahmoud, imam at the Finsbury Park mosque, accepted the same award in recognition of his actions after the terror attack on worshippers there in 2017. Mahmoud, whose parents are Egyptian, also expressed reservations about the connotations of British colonialism, such as “massacres, subjugation and destruction of rich and proud cultures”. But he said he had accepted the honour as “recognition for everyone in my community”.",Politics
"Drugs before sex more common in UK than in Europe or US – study UK citizens are more likely than Europeans or those living in the US to have taken drugs such as MDMA and cocaine before sex during the last year, according to a new study. Researchers used data from the Global Drug Survey of roughly 22,000 people to find that 64% (4,719) of people surveyed from the UK had had sex having drunk alcohol, compared with 60% (1,296) from Europe and 55% (2064) from the US. Of those who took part in the study, the number who combined sex and cocaine was 13% from the UK (936) compared to 8% from Europe. Similarly, a higher number said they had had sex after MDMA, with 20% of those who participated in the survey from the UK saying they had done so against 15% from the US and Europe. The study’s lead author, Dr Will Lawn, noted that because the study was self-selecting, the proportion in the overall population was likely to be lower. The drugs most commonly used during sex across all countries were alcohol, cannabis, and cocaine, while GHB – which has been linked to chemsex parties, where participants take drugs with the specific aim of having sex afterwards – and MDMA were viewed as having the most significant effect on sexual experience. The findings were put together by academics at the University College London and the Global Drug Survey team and published in the Journal of Sexual Medicine. They drew from a survey where people responded to online questions about which drugs they used when having sex, as well as how drugs affected their sexual experience. “To my knowledge no one has ever investigated country-related difference in how drugs are combined with sex, and this shows the UK may well be at greater risk of chemsex-related harm than other countries, something our country has to be mindful of,” said Dr Lawn. The British Medical Journal has called chemsex a “public health timebomb” because of the associated prevalence of risky sex. Lawn also noted that some drugs would be more popular in certain countries, leading to differences. “For a drug like mephedrone, there was a strong difference between the UK and the Eurozone because [the drug] was particularly popular in the UK but not so much other parts of the world,” he said. He said cannabis was more commonly used in the US in general and this correlated with a higher number of people using it during sex. Cannabis was the only drug in which the UK did not top the US and other countries, with 49% of people from the states combining it with sex compared with 36% in the UK. Lawn said that “differences between groups did emerge” in the study. Men who identified as homosexual were roughly 1.6 times more likely than heterosexual men to take drugs with the intention of enhancing their sexual experiences. They confirmed that GHB/GBL, mephedrone and methamphetamine are more commonly combined with sex by homosexual men than heterosexual men. Lawn said: “In summary, the overall message is that men and women of homosexual, heterosexual and bisexual orientation all use drugs with sex. We should not isolate that behaviour as something only men who have sex with men do, which is the stereotypical chemsex image. However, harm reduction messages about certain drugs should still be targeted at specific drugs to specific groups, given that the combination of sex with GHB/GBL, mephedrone and methamphetamine is more popular among gay men.” Professor Adam Winstock, the founder and director of the Global Drug Survey and a senior author, said: “Our study is by far the largest to date to investigate the relationships between sex and drugs. Previous studies have rarely compared men and women, and people of different sexual orientations. “Furthermore, by appreciating how different drugs affect sex we can tailor our harm reduction messages. These pragmatic messages can save lives.”",Society
"Council register of home-schooled children proposed Parents will be required to register home-educated children with their local authority under government proposals intended to prevent young people from disappearing off the radar. An estimated 60,000 children are thought to be educated at home – a figure that is rising by about a quarter each year. The register will for the first time enable authorities to see where children are if they are not in school and intervene more effectively if required. The proposals, which will be outlined by the education secretary, Damian Hinds, on Tuesday, are intended to address concerns about soaring numbers of children out of school, particularly those who have been “off-rolled” or are attending illegal schools. Although the move was welcomed by Ofsted, the schools watchdog, it is likely to infuriate many people in the home education community who are providing their children with a sound education and object in principle to state interference in family matters. The Department for Education (DfE) is hoping to offset some of their concerns by promising home-educating parents additional support, including teaching resources or help from their local authority to pay for exam costs. Home educator Edward Hardy warned, however, that the community would fight the plans every step of the way. “The register will not protect children from parents who are intent on harming their children. Instead, it will amount to a further step down the path of unwarranted intrusion into family life by the state,” he said. Under the proposals, which will be subject to a 12-week consultation, it will be parents’ responsibility to register their child if they are not being taught in a state-funded or registered independent school. The government says the register is not intended to crack down on home educators, but to protect vulnerable children who may remain hidden from the authorities and those in illegal schools where they could come under “dangerous influences”. As now, if a local authority has concerns that a child is not receiving a suitable education, they can use school attendance orders to compel parents to send their child to a registered school, which can escalate to a prosecution if a family fails to comply. Announcing the plans, Hinds said: “As a government, we have a duty to protect our young people and do our utmost to make sure they are prepared for life in modern Britain. “That’s why this register of children not in school is so important – not to crack down on those dedicated parents doing an admirable job of educating their children in their own homes, but to prevent vulnerable young people from vanishing under the radar.” The Local Government Association, which represents councils, welcomed the register, but called on the government to go further and give local authorities the powers and funding to enter homes or other premises to check a child’s schooling. The children’s charity NSPCC said a register alone would not automatically safeguard children. “There must also be regular checks just like any other education setting to ensure that children are being properly looked after when they learn,” a spokesperson said. Head of Ofsted and chief inspector of schools in England, Amanda Spielman, said: “Ofsted has long had concerns about the increasing numbers of school-age children not attending a registered school, many of whom may not be receiving a high-quality education or being kept safe. “We are especially concerned about children ‘off-rolled’ from schools, and those in illegal schools. The new register will make it easier to detect and tackle these serious problems.” The children’s commissioner for England, Anne Longfield, said: “It is vitally important that we know that all children are safe and that they are receiving the education they deserve to help them to succeed in life. The introduction of a register for children not in school is very welcome and something I been calling for. I am pleased these proposals also include support for families.”",UK news
"Big four accountancy firms should break up, say MPs Britain’s big four accountancy firms should face a full break-up to weaken their “stranglehold” on an audit market discredited by corporate failures including Carillion and BHS, MPs have suggested in a hard-hitting report. The business, energy and industrial strategy (Beis) committee said the competition watchdog – which is due to release its final recommendations for reform of the audit industry – should consider the break-up of the country’s biggest accountants by separating their audit and consulting arms. Between them, the four big players – KPMG, Deloitte, PwC and EY – conducted the audits at all but one of the UK’s 100 biggest listed companies last year. “The big four’s dominance has fostered a precarious market which shuts out challengers and delivers audits which investors and the public cannot rely on,” Rachel Reeves MP, the Labour chair of the committee, said. “Our report proposes a range of measures to boost competition, improve the audit product, and ensure that the UK continues to be a world leader in corporate governance.” The committee suggested imposing market share caps on the big four and bringing in joint audits conducted by a big four player and a challenger firm. The latter proposal is already supported by the Competition and Markets Authority. Reeves said the big four were also often using their audit work as a route to “milking the cash-cow of consultancy business”. The CMA has already proposed splitting the audit and consulting at an operational level but has stopped short of recommending a full separation. But the Beis committee’s report, The Future of Audit, argued for a “full structural break-up” of the big four. A break-up would be more effective in “tackling conflicts of interest” and providing the “professional scepticism” needed to deliver high-quality audits, the committee said. “We must not wait for the next corporate collapse,” Reeves said. “Government and regulators need to get on and legislate to deliver these reforms and ensure that audits deliver what businesses, investors, pension holders and the public expect. “Change is needed to deliver for investors, workers and the public. The big four may not like it, they may seek to undermine the case for reform, but vested interests should not be allowed to get in the way of positive change.” However, the British business lobby group, the CBI, accused MPs of being “heavy-handed” and warned that “rushing to simplistic” changes would damage the UK’s reputation. “The committee’s idea to force a break-up of the big four jumps the gun,” Josh Hardie, the CBI’s deputy director-general, said. “It puts forward a heavy-handed solution rather than waiting for the evidence of the reviews investigating the state of the current market and future vision for audits. “Businesses are aware there are problems with the audit market and it is a tough challenge to fix them. High-profile corporate failures have rightly prompted searching questions. But the UK’s position as a stable, evidence-based country is already under threat. So rushing to simplistic measures rather than following a clear, considered long-term approach will damage our reputation further.” PwC warned that breaking up the big four would weaken resilience, increase costs and damage the UK’s global competitiveness. “We recognise the need for reforms which will enhance audit quality; however, the report’s recommendation to break up the largest firms risks hampering, rather than enhancing it,” Hemione Hudson, PwCs head of assurance, said. “Arguing for ‘break-up’ sounds like action, but actually it will reduce quality, weaken resilience and distract attention from more practical steps to ensure auditing keeps pace with society’s expectations. “There are likely to be significant unintended consequences from breaking up the large professional services firms, with increased cost and disruption to the economy and businesses which would be damaging to the UK’s competitiveness.” A separate review, carried out by the Legal &amp; General chair, Sir John Kingman, will lead to the accountancy watchdog, the Financial Reporting Council (FRC), being abolished and replaced with the Audit, Reporting and Governance Authority. An FRC spokesperson said: “The FRC shares a number of the concerns expressed in the select committee report which are consistent with the evidence we submitted to its inquiry. Long-term fundamental changes to the regulation of audit form part of the implementation programme we are developing with Beis.” Liz Murrall, the director of stewardship and reporting at The Investment Association, which represents asset managers, welcomed the Beis commitee recommendations. “Investors rely on the quality and robustness of audits when making investment decisions, and a high-quality audit is vital to ensure that the markets have confidence in the information in a company’s annual report,” she said. “The recommendations outlined in today’s report are an important step in achieving this.”",Business
"Larger actors rarely get cast as romantic leads, says James Corden James Corden has said that “chubby” actors are routinely excluded from the casting for romantic roles because of an industry aversion to showing them falling in love or having sex. The Late Late Show host, 40, said that “fat” actors have to accept in film or on TV that “certainly no one ever finds you attractive”. Speaking to the actor David Tennant on his podcast, David Tennant Does a Podcast With, Corden said that overweight people are, at best, cast as the funny friend of someone who is “attractive”. He said that such characters “never really fall in love” and “never have sex”. Speaking of his breakthrough while he was performing in Alan Bennett’s The History Boys in 2004, Corden said: “I was in the play with seven other boys who were at a similar age and a similar place in our careers, and pretty much every day, three or four of these boys would come in with a massive film script under their arm.” For one role, “they were looking for two boys of 21 and 22 and [two others] got sent the script [for lead roles] and I got sent just two pages to play a newsagent at the start of this film,” he said. “I really felt like people were going, ‘We think you’re quite good. It’s just because of what you look like.’” Corden said that larger actors are often typecast. “You will be good friends with people who are attractive and will perhaps chip in with the odd joke every now and again,” he said. “As you get older, you’ll probably be a judge in something or you’ll be dropping off a television to a handsome person in a sitcom.” Corden’s beliefs are echoed by studies on the topic. American research has shown that the under-representation of overweight people on prime-time television has fuelled discriminatory attitudes in the general public. In terms of gender, this bias affects women more than men, and wider studies have found that media narratives on obesity continue to fuel the inequality. Establishing his career in the early 2000s sitcom Fat Friends, Corden has previously spoken of weight discrimination in a 2016 interview with Rolling Stone. “I could never understand, when I watch romantic comedies,” he said, “the notion that for some reason unattractive or heavy people don’t fall in love. If they do, it’s in some odd, kooky, roundabout way – and it’s not.”",Life and style
